 课程名 授课教师 通过制/百分制 点名/签到 最终得分 我的评价 平时任务 期末考核 开课单位
   百分制/绩点制 没有点名和签到，老师本人说想来就来，只要期末过了就好，考勤分基本给满 80-84/3.0-3.4 老师人挺好，对喜欢篮球的挺有意思的，因为我是数统，所以体育课没卷，以及格为目标 平时没啥任务，不费时间 男生油漆区外五个点各投两次6个满分两个及格,全场行进1分钟三步上篮6个满分两个及格,女生随便投十次篮6个满分两个及格,随便半场上个篮6个满分两个及格,男生投篮有点难度,课外练了就不会差 体育部
   百分制/绩点制 不点名不签到，老师人很好 90-94/4.0 上课老师先带着练习，剩下大概半节课自由练习活动，老师给分好，事少分高，对女生很友好，零基础可以冲！ 平时课上课下没什么任务，女生课上可能会有点累 定点投篮10进2及格6满分，一分钟三步上篮2及格6满分，难度不大， 体育部
   百分制/绩点制 不点名签到，平时分给满 95+ 老师是cuba退役球员，想学真东西的闭眼冲，想玩玩也可以选，管的不严 少 投篮，上篮，基本都会给满 体育部
  袁晖 百分制/绩点制 点名 95+ 感觉会运球、投篮和三步上篮就比较简单，平时上课难度不大，临近期末多练一练 无 三步上篮，投篮 体育部
   百分制/绩点制 有点名，而且次数不少 90-94/4.0 上课难度一般，选课的女生比较多，零基础也可以 先讲一会篮球史，再热身，练一下项目 投篮10个不限时间，2个及格，6个满分和1分钟运球上篮，个人觉得难度不大，而且会大小组赛，小组赛打的好可以加分 体育部
   百分制/绩点制 点名 85-89/3.5-3.9 老师人比较好，不会每节课都点名 一直在动，篮球 三步上篮、投篮、比赛，稍有难度，零基础不太好 体育部
  王来东 百分制/绩点制 每节课点名 90-94/4.0 老师人很好，对女生很友好，就是每节课热身很久，会很累，强度大 强度大，体育较差想要温和点的运动，慎入 女生是投篮十个进六个满分，一分钟三步上篮进六个满分，差一个扣五分，两个及格，没有基础的课下要勤加练习，考试的时候很看运气，但是可以补考，老实人很好 体育部
   百分制/绩点制 点名和签到都有 未出分 老师很认真，最后自己也真的能达到投篮的满分标准了，挺有收获的。女生的考核标准比男生低很多。 无 定点投篮，不限时，10个进2合格6满分。跑篮，限时1分钟，进2个合格6个满分。 体育部
   百分制/绩点制 最后三次不点 80-84/3.0-3.4 人比较和蔼，对男生要求高一点 每周课下练一个小时为好 三步上篮6个满分，定点投篮10次中六个满分 体育部
   百分制/绩点制 经常拿名单点名 85-89/3.5-3.9 课上挺轻松的，主要就是篮球的一些基础动作，收获还可以 平时任务为零 定点投篮和全场来回三步上篮，没有打过篮球的很难拿满分，两次机会，不过你实在太差的话也可以考更多次 体育部
   百分制/绩点制 偶尔点名，请假一般不扣分 95+ 教锻炼球感的各种动作，以及定点投篮、三步上篮；老师比较随性，课上轻松； 如果期末想要高分，平时特别是期末前就要多练习 定点投篮（10进6满分，男生在罚球线，女生在罚球线前一格）和三步上篮（1分钟上6个满分，男生跑全场，女生跑到三分线） 体育部
 健身健美初级 段宇轩 百分制/绩点制 点名 90-94/4.0 老师人好，体育较差选这个完全没问题，体重基数大的慎重 没有平时任务 考卧推和深蹲 体育部
   百分制/绩点制 点名 95+ 都很好 举铁，健身运动 举空杆，深蹲，不难 体育部
   百分制/绩点制 点名，每节课都点 80-84/3.0-3.4 上课比较随意，前面每节课教一点新动作，期末就复习然后联系期末考内容（卧推加深蹲） 无 卧推、深蹲，重量按体重折算，6个开始计60分，6个以上每2个加5分。 体育部
   百分制/绩点制 每节课课前点名 未出分 平时上课会教举铁！老师很苗条又很strong，很幽默，人很好，但是上课不能划水 肌肉力量比较弱的同学下课可能会膀子疼腿疼 期末考卧推深蹲，重量根据自己体重换算，一般都能考到满分（14个） 体育部
   百分制/绩点制 点名 85-89/3.5-3.9 一些基础的健身动作，老师人超好，认真做收获很多 基本没有平时作业 考卧推和深蹲，平时跟上练习满分没问题 体育部
  金睿 百分制/绩点制 有 90-94/4.0 老师很专业，一学期下来甚至能收获医学知识 上课的时候要围着体育馆跑步热身 期末考试对女生很轻松 体育部
   通过制 签到  老师比较有意思 比较简单,健健身之类的 卧推和深蹲 体育部
   百分制/绩点制 偶尔点名 80-84/3.0-3.4 是领导，老师很有趣，作为体育人的观念很有启发性 就上课练 卧推和深蹲，卧推需要练一练，要控制体重，因为期末的重量是按体重百分比阶梯定的，可以收获大胸肌 体育部
 排球初级 邱明强 百分制/绩点制 点得很宽松，但是要翘课也满明显的 95+ so_easy 有平时的小组练习打卡要完成 做最好的啦啦队，为最棒的队友加油 体育部
  游江波 百分制/绩点制 点名 未出分 老师教的很认真，能学到东西。队伍之间打比赛的时间很多 事情比较多，需要课下训练 双人垫球20，不难多练就好 体育部
  张鹤 百分制/绩点制 点名 85-89/3.5-3.9 老师人很好！！课上运动量并不是很大，课上的氛围很暖 每周有两次团队训练，要记入平时成绩，后期课上会比赛，也会记入到成绩里，第一名和最后一名只差两三分 期末是双人垫球和小组颠球，好好练就不会很差 体育部
   通过制 点名,小队队长统计,然后统一汇报给老师  老师人不错，讲得通俗易懂，让排球0基础人爱上排球！课下多练！！好玩到忘了累 小队每周自行组织训练 双人对垫20下,圆圈垫球20下 体育部
   百分制/绩点制 每节课点名 未出分 老师教的很好，人也很好，学到很多排球技术，对新手来说难度不大，但有基础会更好 每周两次小组练习，选项班比赛（自愿参加） 圆圈垫球20个，对垫20个,课上考，如果认真练的话不难 体育部
   百分制/绩点制 无签到 95+ 很好 每节课打比赛 团队垫球+两人对垫 体育部
  张丽 百分制/绩点制 可以请假，不扣考勤分 85-89/3.5-3.9 快乐排球课，但是确实需要课下的练习，总体不难，上课轻松，给分很好 每周两次练习（拍照 三项，对垫、围圈垫、打比赛，都不算难 体育部
   百分制/绩点制 点名 75-79/2.5-2.9 需要课外练习，每周两次发照片 双人对垫球，小组围圈垫球，比赛 双人对垫球，小组围圈垫球，小组比赛，分到厉害的组很重要 体育部
   通过制 第一堂课会点名，之后会分成若干排球小组，之后的每节课老师只会问各组组长各组人员是否到齐  1、首先排球真的是一项非常有魅力的运动，你会从集体合作中收获很多，选择排球课是我最正确的选择之一,2、其次张丽老师的教学也真的很专业（有一说一，之前有过两个老师来代课，但相比之下，我觉得张丽老师的课堂一点不水），指导很到位，虽然很严厉，但是也不吝表扬。3、老师要求每周安排两次组内练习，可以作为周中的放松,4、可以认识很多很不错的同学，可以为以后的体育生活多加一项快乐,4、最后的小建议是，不能吃苦的同学或者怕被球砸的同学慎重选择，毕竟比赛也是一种对抗。但是和队友的配合以及在场上打好每一个球，又何尝不是一种幸福呢？ 最初几节课：准备活动（跑步），老师会教一项技能，之后练习。过会再教一项，一般一节课会有两个新知识。之后的课程：准备活动（跑步），对垫球对传球练习，团垫练习，偶尔会再教一点小知识,最后几节课：小组两两打比赛（一共两轮） 考察内容有两个，一个是大约从第九周开始考对垫球，每周可以考一次，20个就满分。还有一个是小组团垫，20个及格，40个优秀,除此之外，最后的小组对抗赛之后老师会对小组进行排名，结果也会作为最后的成绩参考 体育部
  李洪国 百分制/绩点制 每节课小组长点名告知老师 85-89/3.5-3.9 排球挺有意思，但半年很难学明白，需要比较多课下练习，推荐闲的和擅长团队合作的来 无 小组围圈对颠20个，两人对颠20个，参加全部初级班的比赛 体育部
   百分制/绩点制 点名 90-94/4.0 教学认真有趣 需要认真训练 考围圈传垫球，和对垫球 体育部
  张梅 百分制/绩点制 点名 85-89/3.5-3.9 老师挺好的,考试可以一直考,迟到也没什么问题,请一次假扣一分,最后一节课也会公开所有的成绩 对垫,围圈练习,打比赛 对垫20次,围圈20次,小组比赛排名,前两项几乎都能拿满分,小组第一名满分,第二名扣一分,第三名扣两分 体育部
 排球高级 游江波 百分制/绩点制 每堂课都签到 90-94/4.0 有趣 稍加联系即可 正反手对攻 体育部
   百分制/绩点制 可以请假 95+ 游老师人特别好，很专业，很耐心 比较轻松，但是需要小组一起练习围圈垫球 两人对垫，围圈垫球 体育部
 乒乓球初级 丁铮锴 百分制/绩点制 点名 95+ 丁老师特别亲切幽默，教学也很细心。然后乒乓球也很有意思。 平时就是老师教动作，然后学生对打练习 期末就是正反手连续三十个，只要自己练习基本的，还有找一个好搭档就能过，还要参加班级比赛，蛮有趣的。 体育部
