  KWONOSUB 百分制/绩点制 不点名 90-94/4.0 老师讲课还挺不错的 前期基本每周都有作业，后面讲完了就没什么事了 考试，不难 金融学院
   百分制/绩点制 很少 85-89/3.5-3.9 老师讲的不错，但是由于顺序很乱只听懂了最后几节，网课学了之前的知识，给分还行 有作业，五次 笔试 金融学院
 金融学概论 李泽广 百分制/绩点制 不点名 90-94/4.0 老师讲课很有意思 有一次期中pre 考试 金融学院
   百分制/绩点制 几乎没有，有一次拍照了，但可能老师不认识谁来了也并没有让写名字 85-89/3.5-3.9 金概老师一般都讲的比较高深，最后给分有点卡绩，但90+也还挺多，不知道什么标准 有一次pre 七三开，都是最后几天突击 金融学院
  高凤龙 百分制/绩点制 印象里没有签到 90-94/4.0 不错，平时听课也很有意思，但讲的和考试无关，拓展为主_授课内容：上课一般侃大山，不怎么讲PPT内容，但是考试复习背PPT就好了，给分也不错。 有一个小组作业，要求课堂展示 PPT上内容 金融学院
 博弈论导论 李相梁 百分制/绩点制 不点名不签到 90-94/4.0 老师人很好，讲课很清楚，会发小礼物给大家 每周一次作业，难度较大，需要耗费两三小时 卷面考试，只要平常认真听老师讲课，认真完成作业，难度就不大，会和平时作业题很像 金融学院
   百分制/绩点制 不点名不签到，但几乎每节课都要交作业 95+ 老师讲课挺有意思的，这门课也很好玩 作业有11次，比较占用精力，纯英，难的简单的都有 期中平时期末334，作业有点难，但考的偏简单，几乎都是作业类似题 金融学院
 商业银行管理学 李欣明 百分制/绩点制 不查出勤 95+ 老师很厉害,虽然课内讲的比较少,但是认真听他上课能学到很多很多 论文summary 闭卷 金融学院
 中级宏观经济学 夏天 百分制/绩点制 均不 90-94/4.0 授课内容对于新生来说本身较新，老师自身水平高且讲课节奏快，可能跟不上；最后给分较为公正 有三次平时作业，作业难度较大 闭卷考试，难度中等 金融学院
 经济学原理（微宏观） 范小云 百分制/绩点制 沒有点名 80-84/3.0-3.4 讲的很好，容易理解，但经常拖堂 只有一次大作业 內容比较多，选择、计算和论述 金融学院
   百分制/绩点制 不点名不签到 85-89/3.5-3.9 讲的挺好，但是被卡绩了给分好像没另一个老师好 大作业论文 统一考试 金融学院
   百分制/绩点制 不点名 90-94/4.0 好 不太大 考试 金融学院
  贺佳 百分制/绩点制 没点过名 90-94/4.0 上课有意思，偶尔有作业，可以划水 一次小组作业 考试，给分还行 金融学院
   百分制/绩点制 好像没有 85-89/3.5-3.9 老师讲得挺好，比隔壁容易懂 三次作业,一次三道题左右 考试，多刷往年题，老师也许捞了 金融学院
   百分制/绩点制 无 95+ 神中神 任务很少，基本上就一个期末小组作业，占用精力不大 考试 金融学院
 金融数学 李勇权 百分制/绩点制 无 95+ 嘿嘿，孩子们上权哥的课就好好学吧，不听都行，自己学明白了考试都好说 五次章节作业，自己做作业痛苦 考试，选择填空计算，难度有，压时间才能写完 金融学院
 Python编程基础 张祚超 百分制/绩点制 基本无 95+ 不错滴 平时没有任务 一个大作业，认真做可以拿高分 金融学院
   百分制/绩点制 不点名 90-94/4.0 课说实话没什么意思 就期末小组大作业 不考试，小组大作业给分 金融学院
 政治经济学 陈弘 百分制/绩点制 不记得了(好像没有 90-94/4.0 真听不进去太催眠了() 纯靠期末背 期中一篇论文，期末闭卷。老师会捞，纯背 金融学院
   百分制/绩点制 从不点名签到 75-79/2.5-2.9 比较好睡（老师人不错_给分很烂 期中论文五千字 考试占70% 金融学院
   百分制/绩点制 签到 85-89/3.5-3.9 老师讲课有点无聊，期末给分一般 期中有一个论文，平时基本没有事情 期末正常背诵政治经济学 金融学院
   百分制/绩点制 无 80-84/3.0-3.4 老师讲的很好很详细 平时无作业，有期中论文 闭卷考试 金融学院
